zimmo code,type,price,street,number,postcode,city,living area(m²),ground area(m²),bedroom,bathroom,garage,garden,EPC(kWh/m²),renovation obligation,year built,mobiscore,url
L9X2H,Vakantiewoning (Huis),39000.0,Vlinderweg,1,2275,Wechelderzande,68.0,652.0,1.0,1.0,1.0,False,1027.0,True,1970.0,5.1,https://www.zimmo.be/nl/wechelderzande-2275/te-koop/huis/L9X2H/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiAwLCAibWF4IjogNDk5OTl9fX19
L8HUK,Vakantiewoning (Huis),15000.0,Hoevestraat,113,3120,Tremelo,262.0,550.0,2.0,1.0,1.0,False,445.0,True,1978.0,6.2,https://www.zimmo.be/nl/tremelo-3120/te-koop/huis/L8HUK/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiAwLCAibWF4IjogNDk5OTl9fX19&p=2
L83XE,Woning (Huis),90000.0,Venstraat,23,3670,Gruitrode,182.0,1106.0,3.0,1.0,1.0,False,723.0,True,1951.0,6.2,https://www.zimmo.be/nl/gruitrode-3670/te-koop/huis/L83XE/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMCwgIm1heCI6IDk5OTk5fX19fQ%3D%3D&p=10
L7M6B,Woning (Huis),99000.0,Rekkemstraat,29,8930,Lauwe,120.0,140.0,3.0,1.0,1.0,True,541.0,True,1930.0,8.5,https://www.zimmo.be/nl/lauwe-8930/te-koop/huis/L7M6B/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMCwgIm1heCI6IDk5OTk5fX19fQ%3D%3D&p=11
L7ITT,Woning (Huis),98000.0,Bakkerstraat,22,8940,Wervik,114.0,195.0,3.0,1.0,1.0,True,669.0,True,1919.0,8.0,https://www.zimmo.be/nl/wervik-8940/te-koop/huis/L7ITT/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMCwgIm1heCI6IDk5OTk5fX19fQ%3D%3D&p=12
L3TKA,Woning (Huis),97000.0,Hoogstadestraat,73,8690,Sint-Rijkers,162.0,420.0,2.0,1.0,2.0,True,621.0,True,1918.0,4.6,https://www.zimmo.be/nl/sint-rijkers-8690/te-koop/huis/L3TKA/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMCwgIm1heCI6IDk5OTk5fX19fQ%3D%3D&p=17
L9LIW,Woning (Huis),130000.0,Watertorenstraat,21,2250,Olen,132.0,658.0,4.0,1.0,1.0,False,657.0,True,1930.0,7.3,https://www.zimmo.be/nl/olen-2250/te-koop/huis/L9LIW/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiAxMDAwMDAsICJtYXgiOiAxNDk5OTl9fX19&p=7
L9LC0,Woning (Huis),110000.0,Sluizenkaai,11,8930,Menen,150.0,121.0,4.0,1.0,2.0,False,502.0,True,1930.0,8.6,https://www.zimmo.be/nl/menen-8930/te-koop/huis/L9LC0/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiAxMDAwMDAsICJtYXgiOiAxNDk5OTl9fX19&p=7
L9JN2,Woning (Huis),115000.0,Sprietstraat,49,8850,Ardooie,85.0,234.0,2.0,1.0,1.0,False,920.0,True,1930.0,7.1,https://www.zimmo.be/nl/ardooie-8850/te-koop/huis/L9JN2/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiAxMDAwMDAsICJtYXgiOiAxNDk5OTl9fX19&p=8
L8Z2C,Woning (Huis),149000.0,Desselgemseweg,110,8790,Waregem,181.0,510.0,3.0,1.0,1.0,False,766.0,True,1919.0,8.4,https://www.zimmo.be/nl/waregem-8790/te-koop/huis/L8Z2C/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiAxMDAwMDAsICJtYXgiOiAxNDk5OTl9fX19&p=18
